131.186.36.66#JP-1#zip.cm.edu.kg
131.186.37.78#JP-2#zip.cm.edu.kg
131.186.38.156#JP-3#zip.cm.edu.kg
131.186.38.96#JP-4#zip.cm.edu.kg
131.186.45.251#JP-5#zip.cm.edu.kg
131.186.56.80#JP-6#zip.cm.edu.kg
132.145.115.62#JP-7#zip.cm.edu.kg
132.145.116.185#JP-8#zip.cm.edu.kg
132.145.127.203#JP-9#zip.cm.edu.kg
132.226.14.143#JP-10#zip.cm.edu.kg
138.2.16.61#JP-11#zip.cm.edu.kg
138.2.16.84#JP-12#zip.cm.edu.kg
138.2.39.24#JP-13#zip.cm.edu.kg
138.2.5.136#JP-14#zip.cm.edu.kg
138.2.61.180#JP-15#zip.cm.edu.kg
139.162.106.22#JP-16#zip.cm.edu.kg
139.162.108.5#JP-17#zip.cm.edu.kg
150.230.107.25#JP-18#zip.cm.edu.kg
150.230.196.248#JP-19#zip.cm.edu.kg
150.230.196.57#JP-20#zip.cm.edu.kg
150.230.198.31#JP-21#zip.cm.edu.kg
150.230.206.84#JP-22#zip.cm.edu.kg
150.230.209.232#JP-23#zip.cm.edu.kg
150.230.212.7#JP-24#zip.cm.edu.kg
150.230.223.119#JP-25#zip.cm.edu.kg
152.69.195.36#JP-26#zip.cm.edu.kg
152.69.199.70#JP-27#zip.cm.edu.kg
152.69.201.29#JP-28#zip.cm.edu.kg
152.69.204.155#JP-29#zip.cm.edu.kg

129.154.194.191#KR-1#zip.cm.edu.kg
129.154.202.229#KR-2#zip.cm.edu.kg
129.154.213.218#KR-3#zip.cm.edu.kg
129.154.215.121#KR-4#zip.cm.edu.kg
129.154.51.52#KR-5#zip.cm.edu.kg
129.154.58.8#KR-6#zip.cm.edu.kg
131.186.17.132#KR-7#zip.cm.edu.kg
131.186.22.50#KR-8#zip.cm.edu.kg
131.186.25.156#KR-9#zip.cm.edu.kg
131.186.27.112#KR-10#zip.cm.edu.kg
131.186.27.135#KR-11#zip.cm.edu.kg
132.145.81.117#KR-12#zip.cm.edu.kg
132.226.224.4#KR-13#zip.cm.edu.kg
152.67.220.148#KR-14#zip.cm.edu.kg
152.67.222.137#KR-15#zip.cm.edu.kg
152.69.234.34#KR-16#zip.cm.edu.kg
152.70.232.200#KR-17#zip.cm.edu.kg
152.70.240.234#KR-18#zip.cm.edu.kg
152.70.243.192#KR-19#zip.cm.edu.kg
152.70.251.65#KR-20#zip.cm.edu.kg
152.70.253.44#KR-21#zip.cm.edu.kg
158.179.173.208#KR-22#zip.cm.edu.kg
158.179.174.3#KR-23#zip.cm.edu.kg
158.179.192.67#KR-24#zip.cm.edu.kg
158.180.70.173#KR-25#zip.cm.edu.kg
158.180.70.243#KR-26#zip.cm.edu.kg
158.180.72.220#KR-27#zip.cm.edu.kg
158.180.72.60#KR-28#zip.cm.edu.kg
158.180.73.165#KR-29#zip.cm.edu.kg
158.180.82.203#KR-30#zip.cm.edu.kg

104.20.255.53#加拿大 Quebec-1#Cloudflare
198.41.212.130#加拿大 Quebec-2#Cloudflare

104.16.105.166#加拿大 安大略-1#Cloudflare, Inc.
104.16.65.1#加拿大 安大略-2#Cloudflare, Inc.
104.17.139.37#加拿大 安大略-3#Cloudflare, Inc.
104.17.142.212#加拿大 安大略-4#Cloudflare, Inc.
104.17.162.3#加拿大 安大略-5#Cloudflare, Inc.
104.17.167.134#加拿大 安大略-6#Cloudflare, Inc.
104.17.69.244#加拿大 安大略-7#Cloudflare, Inc.
104.18.151.172#加拿大 安大略-8#Cloudflare, Inc.
104.18.166.129#加拿大 安大略-9#Cloudflare, Inc.
104.18.189.153#加拿大 安大略-10#Cloudflare, Inc.
104.18.223.253#加拿大 安大略-11#Cloudflare, Inc.
104.18.255.167#加拿大 安大略-12#Cloudflare, Inc.
104.18.81.19#加拿大 安大略-13#Cloudflare, Inc.
104.18.89.52#加拿大 安大略-14#Cloudflare, Inc.
104.19.148.121#加拿大 安大略-15#Cloudflare, Inc.
104.19.154.200#加拿大 安大略-16#Cloudflare, Inc.
104.19.212.207#加拿大 安大略-17#Cloudflare, Inc.
104.19.220.22#加拿大 安大略-18#Cloudflare, Inc.
104.26.3.162#加拿大 安大略-19#Cloudflare, Inc.
104.26.4.90#加拿大 安大略-20#Cloudflare, Inc.
104.26.5.134#加拿大 安大略-21#Cloudflare, Inc.
104.26.8.117#加拿大 安大略-22#Cloudflare, Inc.
104.31.16.158#加拿大 安大略-23#Cloudflare, Inc.
162.159.128.253#加拿大 安大略-24#Cloudflare, Inc.
162.159.136.89#加拿大 安大略-25#Cloudflare, Inc.
162.159.137.204#加拿大 安大略-26#Cloudflare, Inc.
162.159.140.116#加拿大 安大略-27#Cloudflare, Inc.
162.159.140.85#加拿大 安大略-28#Cloudflare, Inc.
162.159.24.131#加拿大 安大略-29#Cloudflare, Inc.
162.159.58.65#加拿大 安大略-30#Cloudflare, Inc.
162.159.61.183#加拿大 安大略-31#Cloudflare, Inc.
172.64.229.7#加拿大 安大略-32#Cloudflare, Inc.
172.64.48.226#加拿大 安大略-33#Cloudflare, Inc.
172.64.52.127#加拿大 安大略-34#Cloudflare, Inc.
172.64.82.114#加拿大 安大略-35#Cloudflare, Inc.
172.64.88.85#加拿大 安大略-36#Cloudflare, Inc.
172.64.91.69#加拿大 安大略-37#Cloudflare, Inc.
172.67.105.161#加拿大 安大略-38#Cloudflare, Inc.
172.67.139.126#加拿大 安大略-39#Cloudflare, Inc.
172.67.209.133#加拿大 安大略-40#Cloudflare, Inc.
172.67.237.95#加拿大 安大略-41#Cloudflare, Inc.
173.245.49.194#加拿大 安大略-42#Cloudflare, Inc.
188.114.96.125#加拿大 安大略-43#Cloudflare, Inc.
188.114.97.144#加拿大 安大略-44#Cloudflare, Inc.
198.41.194.162#加拿大 安大略-45#Cloudflare, Inc.
198.41.208.15#加拿大 安大略-46#Cloudflare, Inc.
198.41.208.224#加拿大 安大略-47#Cloudflare, Inc.
198.41.208.231#加拿大 安大略-48#Cloudflare, Inc.
198.41.208.9#加拿大 安大略-49#Cloudflare, Inc.
198.41.209.180#加拿大 安大略-50#Cloudflare, Inc.
198.41.209.202#加拿大 安大略-51#Cloudflare, Inc.
198.41.214.141#加拿大 安大略-52#Cloudflare, Inc.

190.93.244.201#哥斯达黎加 Provincia de San José-1#Cloudflare, Inc.
190.93.245.247#哥斯达黎加 Provincia de San José-2#Cloudflare, Inc.
190.93.246.67#哥斯达黎加 Provincia de San José-3#Cloudflare, Inc.
190.93.247.169#哥斯达黎加 Provincia de San José-4#Cloudflare, Inc.

162.159.44.35#美国 加州-1#Cloudflare, Inc.

104.16.144.73#美国 新泽西州-1#Cloudflare, Inc.
104.16.150.227#美国 新泽西州-2#Cloudflare, Inc.
104.16.155.225#美国 新泽西州-3#Cloudflare, Inc.
104.16.216.245#美国 新泽西州-4#Cloudflare, Inc.
104.16.232.223#美国 新泽西州-5#Cloudflare, Inc.
104.17.121.227#美国 新泽西州-6#Cloudflare, Inc.
104.17.127.110#美国 新泽西州-7#Cloudflare, Inc.
104.17.145.53#美国 新泽西州-8#Cloudflare, Inc.
104.17.190.47#美国 新泽西州-9#Cloudflare, Inc.
104.17.198.92#美国 新泽西州-10#Cloudflare, Inc.
104.17.215.18#美国 新泽西州-11#Cloudflare, Inc.
104.18.150.71#美国 新泽西州-12#Cloudflare, Inc.
104.18.228.35#美国 新泽西州-13#Cloudflare, Inc.
104.19.10.166#美国 新泽西州-14#Cloudflare, Inc.
104.19.156.25#美国 新泽西州-15#Cloudflare, Inc.
104.19.158.7#美国 新泽西州-16#Cloudflare, Inc.
104.19.194.247#美国 新泽西州-17#Cloudflare, Inc.
104.19.57.134#美国 新泽西州-18#Cloudflare, Inc.
104.27.21.118#美国 新泽西州-19#Cloudflare, Inc.

104.16.241.229#美国 纽约州-1#Cloudflare, Inc.
104.21.91.19#美国 纽约州-2#Cloudflare, Inc.
104.25.105.1#美国 纽约州-3#Cloudflare, Inc.

