IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
175.29.22.158,21029,true,HKG,亚太,香港,57 ms,73538 kB/s
175.29.22.17,31031,true,HKG,亚太,香港,48 ms,71490 kB/s
175.29.22.43,21029,true,HKG,亚太,香港,46 ms,71235 kB/s
175.29.22.39,31031,true,HKG,亚太,香港,47 ms,71080 kB/s
175.29.22.34,31029,true,HKG,亚太,香港,46 ms,70628 kB/s
175.29.22.114,21029,true,HKG,亚太,香港,47 ms,69504 kB/s
175.29.22.29,31031,true,HKG,亚太,香港,48 ms,67979 kB/s
175.29.22.124,21029,true,HKG,亚太,香港,47 ms,67000 kB/s
175.29.22.114,31031,true,HKG,亚太,香港,56 ms,66509 kB/s
175.29.22.57,31029,true,HKG,亚太,香港,48 ms,66077 kB/s
175.29.22.98,21032,true,SIN,亚太,新加坡,47 ms,65977 kB/s
175.29.22.85,31031,true,HKG,亚太,香港,46 ms,65663 kB/s
175.29.22.58,31031,true,HKG,亚太,香港,46 ms,65285 kB/s
175.29.22.66,31029,true,HKG,亚太,香港,47 ms,64629 kB/s
175.29.22.60,21032,true,SIN,亚太,新加坡,59 ms,63304 kB/s
175.29.22.73,31032,true,SIN,亚太,新加坡,47 ms,62877 kB/s
175.29.22.65,31033,true,SIN,亚太,新加坡,47 ms,62651 kB/s
175.29.22.74,21029,true,HKG,亚太,香港,47 ms,62323 kB/s
175.29.22.60,21029,true,HKG,亚太,香港,49 ms,61702 kB/s
175.29.22.80,21031,true,HKG,亚太,香港,48 ms,61432 kB/s
175.29.22.86,31029,true,HKG,亚太,香港,47 ms,61169 kB/s
175.29.22.104,21029,true,HKG,亚太,香港,49 ms,59397 kB/s
175.29.22.35,31031,true,HKG,亚太,香港,48 ms,58790 kB/s
175.29.22.76,21029,true,HKG,亚太,香港,49 ms,58674 kB/s
175.29.22.76,31032,true,SIN,亚太,新加坡,46 ms,58276 kB/s
175.29.22.120,31029,true,HKG,亚太,香港,46 ms,57971 kB/s
175.29.22.74,31032,true,SIN,亚太,新加坡,48 ms,57702 kB/s
175.29.23.123,31032,true,SIN,亚太,新加坡,47 ms,56597 kB/s
175.29.22.65,31032,true,SIN,亚太,新加坡,47 ms,55639 kB/s
175.29.22.111,21031,true,HKG,亚太,香港,63 ms,55474 kB/s
175.29.22.66,31032,true,SIN,亚太,新加坡,46 ms,55463 kB/s
175.29.22.53,21031,true,HKG,亚太,香港,46 ms,54990 kB/s
175.29.22.49,21032,true,SIN,亚太,新加坡,46 ms,53536 kB/s
175.29.22.120,21033,true,SIN,亚太,新加坡,48 ms,53414 kB/s
175.29.22.98,21031,true,HKG,亚太,香港,46 ms,53321 kB/s
175.29.22.74,31031,true,HKG,亚太,香港,48 ms,53180 kB/s
175.29.22.120,21032,true,SIN,亚太,新加坡,47 ms,52928 kB/s
175.29.22.49,21033,true,SIN,亚太,新加坡,47 ms,52793 kB/s
175.29.22.70,21029,true,HKG,亚太,香港,47 ms,52247 kB/s
175.29.22.98,31033,true,SIN,亚太,新加坡,48 ms,51887 kB/s
175.29.22.67,31029,true,HKG,亚太,香港,48 ms,51426 kB/s
175.29.22.39,21031,true,HKG,亚太,香港,47 ms,50664 kB/s
175.29.22.70,31031,true,HKG,亚太,香港,45 ms,50545 kB/s
175.29.22.63,21029,true,HKG,亚太,香港,47 ms,50437 kB/s
175.29.22.114,21033,true,SIN,亚太,新加坡,47 ms,50155 kB/s
175.29.22.53,31029,true,HKG,亚太,香港,48 ms,49912 kB/s
175.29.22.29,21031,true,HKG,亚太,香港,48 ms,49773 kB/s
175.29.22.82,21032,true,SIN,亚太,新加坡,46 ms,49097 kB/s
175.29.22.57,21032,true,SIN,亚太,新加坡,46 ms,49009 kB/s
175.29.22.74,31033,true,SIN,亚太,新加坡,47 ms,48840 kB/s
175.29.22.114,31032,true,SIN,亚太,新加坡,49 ms,48585 kB/s
175.29.22.72,21029,true,HKG,亚太,香港,47 ms,48203 kB/s
175.29.22.133,21032,true,SIN,亚太,新加坡,48 ms,48203 kB/s
175.29.22.85,21033,true,SIN,亚太,新加坡,48 ms,47913 kB/s
175.29.22.43,21032,true,SIN,亚太,新加坡,47 ms,47795 kB/s
175.29.22.65,31029,true,HKG,亚太,香港,45 ms,46904 kB/s
175.29.22.86,31031,true,HKG,亚太,香港,48 ms,46145 kB/s
175.29.22.72,31032,true,SIN,亚太,新加坡,46 ms,45359 kB/s
175.29.22.74,31033,true,SIN,亚太,新加坡,48 ms,45155 kB/s
175.29.22.67,21031,true,HKG,亚太,香港,47 ms,44418 kB/s
175.29.22.72,21032,true,SIN,亚太,新加坡,48 ms,44221 kB/s
175.29.22.35,21029,true,HKG,亚太,香港,48 ms,43767 kB/s
175.29.22.98,21027,true,NRT,亚太,日本东京,47 ms,41746 kB/s
175.29.22.111,31032,true,SIN,亚太,新加坡,47 ms,41575 kB/s
175.29.22.124,31031,true,HKG,亚太,香港,62 ms,41451 kB/s
175.29.22.88,31033,true,SIN,亚太,新加坡,47 ms,41408 kB/s
175.29.22.134,31032,true,SIN,亚太,新加坡,47 ms,40980 kB/s
175.29.22.17,21033,true,SIN,亚太,新加坡,47 ms,39718 kB/s
175.29.22.88,21029,true,HKG,亚太,香港,47 ms,39376 kB/s
175.29.22.43,31029,true,HKG,亚太,香港,48 ms,39136 kB/s
175.29.22.65,31027,true,NRT,亚太,日本东京,46 ms,39072 kB/s
175.29.22.88,31029,true,HKG,亚太,香港,45 ms,38939 kB/s
175.29.22.127,31027,true,NRT,亚太,日本东京,47 ms,38922 kB/s
175.29.22.76,31027,true,NRT,亚太,日本东京,47 ms,38799 kB/s
175.29.22.65,21027,true,NRT,亚太,日本东京,47 ms,38605 kB/s
175.29.22.124,31033,true,SIN,亚太,新加坡,47 ms,38530 kB/s
175.29.22.58,31027,true,NRT,亚太,日本东京,47 ms,38362 kB/s
175.29.22.49,21030,true,HKG,亚太,香港,49 ms,38139 kB/s
175.29.22.70,31030,true,HKG,亚太,香港,47 ms,37196 kB/s
175.29.22.114,31027,true,NRT,亚太,日本东京,49 ms,36791 kB/s
175.29.22.43,21030,true,HKG,亚太,香港,48 ms,36728 kB/s
175.29.22.92,31027,true,NRT,亚太,日本东京,47 ms,36200 kB/s
175.29.22.72,31033,true,SIN,亚太,新加坡,47 ms,36078 kB/s
175.29.22.43,31030,true,HKG,亚太,香港,48 ms,35795 kB/s
175.29.22.76,31031,true,HKG,亚太,香港,47 ms,35486 kB/s
175.29.22.34,21027,true,NRT,亚太,日本东京,47 ms,35447 kB/s
175.29.22.67,31030,true,HKG,亚太,香港,47 ms,35172 kB/s
175.29.22.29,31030,true,HKG,亚太,香港,49 ms,35051 kB/s
175.29.22.80,31031,true,HKG,亚太,香港,47 ms,34915 kB/s
175.29.22.89,21030,true,HKG,亚太,香港,47 ms,34794 kB/s
175.29.22.97,31033,true,SIN,亚太,新加坡,47 ms,34441 kB/s
175.29.22.83,31032,true,SIN,亚太,新加坡,47 ms,34256 kB/s
175.29.22.60,31030,true,HKG,亚太,香港,47 ms,34204 kB/s
175.29.22.72,21027,true,NRT,亚太,日本东京,48 ms,34126 kB/s
175.29.23.123,21030,true,HKG,亚太,香港,46 ms,33920 kB/s
175.29.23.123,21030,true,HKG,亚太,香港,50 ms,33603 kB/s
175.29.22.83,31030,true,HKG,亚太,香港,45 ms,33465 kB/s
175.29.22.111,21027,true,NRT,亚太,日本东京,61 ms,33429 kB/s
175.29.22.127,31030,true,HKG,亚太,香港,49 ms,33044 kB/s
175.29.22.97,31030,true,HKG,亚太,香港,47 ms,32854 kB/s
175.29.22.82,31030,true,HKG,亚太,香港,58 ms,32800 kB/s
175.29.22.89,31030,true,HKG,亚太,香港,48 ms,32730 kB/s
175.29.22.39,21030,true,HKG,亚太,香港,47 ms,32335 kB/s
175.29.22.67,21030,true,HKG,亚太,香港,48 ms,32251 kB/s
175.29.22.77,31030,true,HKG,亚太,香港,61 ms,32078 kB/s
175.29.22.70,31027,true,NRT,亚太,日本东京,47 ms,31996 kB/s
175.29.22.53,21027,true,NRT,亚太,日本东京,47 ms,31791 kB/s
175.29.22.74,31027,true,NRT,亚太,日本东京,47 ms,31729 kB/s
175.29.22.134,21027,true,NRT,亚太,日本东京,51 ms,31396 kB/s
175.29.22.86,21027,true,NRT,亚太,日本东京,48 ms,31343 kB/s
175.29.22.72,21031,true,HKG,亚太,香港,47 ms,31316 kB/s
175.29.22.127,21030,true,HKG,亚太,香港,50 ms,31260 kB/s
175.29.22.77,21027,true,NRT,亚太,日本东京,45 ms,30744 kB/s
175.29.22.104,31030,true,HKG,亚太,香港,62 ms,29097 kB/s
175.29.22.104,21027,true,NRT,亚太,日本东京,47 ms,28910 kB/s
175.29.22.85,21032,true,SIN,亚太,新加坡,62 ms,28233 kB/s
175.29.22.39,21039,true,HKG,亚太,香港,60 ms,27801 kB/s
175.29.22.66,31033,true,SIN,亚太,新加坡,48 ms,27528 kB/s
175.29.22.43,21027,true,NRT,亚太,日本东京,45 ms,27447 kB/s
175.29.23.123,31039,true,HKG,亚太,香港,46 ms,26626 kB/s
175.29.22.34,21039,true,HKG,亚太,香港,63 ms,26577 kB/s
175.29.22.49,21039,true,HKG,亚太,香港,45 ms,26535 kB/s
175.29.22.73,21039,true,HKG,亚太,香港,46 ms,26493 kB/s
175.29.23.123,21034,true,TPE,亚太,台北,46 ms,26459 kB/s
175.29.22.158,31027,true,NRT,亚太,日本东京,49 ms,26357 kB/s
175.29.22.67,31033,true,SIN,亚太,新加坡,50 ms,26347 kB/s
175.29.22.92,21034,true,TPE,亚太,台北,47 ms,26274 kB/s
175.29.22.55,21039,true,HKG,亚太,香港,48 ms,26228 kB/s
175.29.22.60,21039,true,HKG,亚太,香港,48 ms,26204 kB/s
175.29.22.108,31039,true,HKG,亚太,香港,46 ms,26169 kB/s
175.29.22.29,21039,true,HKG,亚太,香港,48 ms,25992 kB/s
175.29.22.80,21027,true,NRT,亚太,日本东京,48 ms,25908 kB/s
175.29.22.88,21035,true,HKG,亚太,香港,46 ms,25895 kB/s
175.29.22.63,31039,true,HKG,亚太,香港,48 ms,25749 kB/s
